,Location,BedRooms,WashRooms,AreaCount,Area,Currency,Price
106,3,3,3,200, Sq. Yd,PKR,2.11 Crore
107,3,3,3,200, Sq. Yd,PKR,2.14 Crore
108,3,3,3,200, Sq. Yd,PKR,2.15 Crore
109,3,3,3,200, Sq. Yd,PKR,2.01 Crore
110,3,3,3,200, Sq. Yd,PKR,2.17 Crore
111,3,3,3,200, Sq. Yd,PKR,2.09 Crore
112,3,3,3,200, Sq. Yd,PKR,2.03 Crore
113,3,3,3,200, Sq. Yd,PKR,2.18 Crore
114,3,3,3,200, Sq. Yd,PKR,2.02 Crore
115,3,3,3,200, Sq. Yd,PKR,2.12 Crore
116,3,3,3,200, Sq. Yd,PKR,2.24 Crore
117,3,3,3,200, Sq. Yd,PKR,2.07 Crore
118,3,3,3,200, Sq. Yd,PKR,1.91 Crore
119,3,3,3,200, Sq. Yd,PKR,1.99 Crore
120,3,3,3,200, Sq. Yd,PKR,2.08 Crore
121,3,3,3,200, Sq. Yd,PKR,2.25 Crore
122,3,3,3,200, Sq. Yd,PKR,2.06 Crore
123,3,3,3,200, Sq. Yd,PKR,2.22 Crore
124,3,3,3,200, Sq. Yd,PKR,2.23 Crore
125,3,3,3,200, Sq. Yd,PKR,2.05 Crore
126,3,3,3,200, Sq. Yd,PKR,1.96 Crore
127,3,3,3,200, Sq. Yd,PKR,2.04 Crore
128,3,3,3,200, Sq. Yd,PKR,2.2 Crore
129,3,3,3,200, Sq. Yd,PKR,2  Crore
130,6,3,3,200, Sq. Yd,PKR,1.45 Crore
131,2,3,3,150, Sq. Yd,PKR,1.43 Crore
132,2,3,3,150, Sq. Yd,PKR,1.47 Crore
133,2,3,3,150, Sq. Yd,PKR,1.41 Crore
134,2,3,3,150, Sq. Yd,PKR,1.45 Crore
135,2,3,3,150, Sq. Yd,PKR,1.42 Crore
136,2,3,3,150, Sq. Yd,PKR,1.44 Crore
137,2,3,3,150, Sq. Yd,PKR,1.4 Crore
138,2,3,3,150, Sq. Yd,PKR,1.46 Crore
139,11,4,3,100, Sq. Yd,PKR,3  Crore
140,38,5,3,"1,000", Sq. Yd,PKR,11  Crore
141,39,5,3,500, Sq. Yd,PKR,8.75 Crore
142,39,6,3,"2,000", Sq. Yd,PKR,10  Crore
143,8,3,3,500, Sq. Yd,PKR,6.25 Crore
144,21,3,3,150, Sq. Yd,PKR,1.5 Crore
145,7,3,6,200, Sq. Yd,PKR,95  Lakh
146,20,3,3,200, Sq. Yd,PKR,1.46 Crore
147,6,3,4,200, Sq. Yd,PKR,1.55 Crore
148,21,3,3,150, Sq. Yd,PKR,1.48 Crore
149,6,6,6,200, Sq. Yd,PKR,1.3 Crore
150,14,6,6,"1,000", Sq. Yd,PKR,27  Crore
151,8,4,5,100, Sq. Yd,PKR,4  Crore
152,14,6,7,666, Sq. Yd,PKR,15  Crore
153,39,6,7,"1,000", Sq. Yd,PKR,15  Crore
154,13,6,7,600, Sq. Yd,PKR,13  Crore
155,13,6,7,600, Sq. Yd,PKR,13  Crore
156,11,4,5,120, Sq. Yd,PKR,4  Crore
157,14,6,7,"1,000", Sq. Yd,PKR,20  Crore
158,40,3,3,200, Sq. Yd,PKR,98  Lakh
159,27,3,3,666, Sq. Yd,PKR,15  Crore
160,6,6,7,200, Sq. Yd,PKR,1.34 Crore
161,14,6,7,500, Sq. Yd,PKR,15  Crore
162,27,3,3,"1,000", Sq. Yd,PKR,20  Crore
163,39,3,3,"1,000", Sq. Yd,PKR,16.5 Crore
164,6,3,3,200, Sq. Yd,PKR,1.6 Crore
165,6,3,3,200, Sq. Yd,PKR,1.32 Crore
166,39,6,7,"1,000", Sq. Yd,PKR,15.5 Crore
167,6,3,3,200, Sq. Yd,PKR,1.45 Crore
168,14,3,3,500, Sq. Yd,PKR,8.75 Crore
169,3,3,3,200, Sq. Yd,PKR,2.1 Crore
170,32,3,3,200, Sq. Yd,PKR,97  Lakh
171,32,3,3,200, Sq. Yd,PKR,1.1 Crore
172,32,3,3,200, Sq. Yd,PKR,96  Lakh
173,32,3,3,200, Sq. Yd,PKR,1  Crore
174,37,3,4,125, Sq. Yd,PKR,55  Lakh
175,4,3,3,350, Sq. Yd,PKR,1.45 Crore
176,2,3,3,150, Sq. Yd,PKR,1.4 Crore
177,3,3,3,200, Sq. Yd,PKR,1.95 Crore
178,41,4,4,250, Sq. Yd,PKR,4.3 Crore
179,3,3,3,200, Sq. Yd,PKR,1.8 Crore
180,3,3,3,200, Sq. Yd,PKR,2  Crore
181,2,3,3,152, Sq. Yd,PKR,1.4 Crore
182,42,4,4,150, Sq. Yd,PKR,4  Crore
183,39,4,4,550, Sq. Yd,PKR,9.5 Crore
184,6,3,3,200, Sq. Yd,PKR,1.34 Crore
185,35,3,3,125, Sq. Yd,PKR,90  Lakh
186,4,4,4,350, Sq. Yd,PKR,1.55 Crore
187,14,5,6,600, Sq. Yd,PKR,11  Crore
188,13,6,7,"1,000", Sq. Yd,PKR,15.5 Crore
189,39,4,5,360, Sq. Yd,PKR,5.65 Crore
190,39,3,4,260, Sq. Yd,PKR,4.95 Crore
191,26,5,6,500, Sq. Yd,PKR,8.5 Crore
192,3,3,3,200, Sq. Yd,PKR,1.99 Crore
193,32,3,3,200, Sq. Yd,PKR,1.6 Crore
194,36,4,5,350, Sq. Yd,PKR,1.46 Crore
195,2,3,3,152, Sq. Yd,PKR,1.56 Crore
196,43,9,6,600, Sq. Yd,PKR,7.75 Crore
197,3,3,3,200, Sq. Yd,PKR,1.99 Crore
198,6,3,3,200, Sq. Yd,PKR,1.35 Crore
199,44,3,3,200, Sq. Yd,PKR,2.75 Crore
200,44,3,6,200, Sq. Yd,PKR,2.75 Crore
201,37,3,4,200, Sq. Yd,PKR,70  Lakh
202,32,3,6,200, Sq. Yd,PKR,90  Lakh
203,30,4,6,200, Sq. Yd,PKR,75.25 Lakh
204,4,6,3,350, Sq. Yd,PKR,1.55 Crore
205,45,6,5,400, Sq. Yd,PKR,4.35 Crore
206,2,6,6,150, Sq. Yd,PKR,1.35 Crore
207,3,6,2,200, Sq. Yd,PKR,2  Crore
208,5,3,8,150, Sq. Yd,PKR,90  Lakh
209,46,4,5,120, Sq. Yd,PKR,75  Lakh
210,47,6,6,240, Sq. Yd,PKR,3.7 Crore
211,17,2,7,200, Sq. Yd,PKR,2.85 Crore
212,48,5,7,75, Sq. Yd,PKR,30  Lakh
213,49,4,7,120, Sq. Yd,PKR,1.6 Crore
214,50,5,7,240, Sq. Yd,PKR,3.5 Crore
215,51,6,7,350, Sq. Yd,PKR,12  Crore
216,51,6,7,350, Sq. Yd,PKR,12  Crore
217,51,6,7,350, Sq. Yd,PKR,12  Crore
218,51,6,7,350, Sq. Yd,PKR,12  Crore
219,51,6,7,350, Sq. Yd,PKR,12  Crore
220,51,6,7,350, Sq. Yd,PKR,12  Crore
221,51,6,7,350, Sq. Yd,PKR,12  Crore
222,51,6,7,350, Sq. Yd,PKR,12  Crore
223,51,6,7,350, Sq. Yd,PKR,12  Crore
224,51,6,7,350, Sq. Yd,PKR,12  Crore
225,51,6,7,350, Sq. Yd,PKR,12  Crore
226,51,6,7,350, Sq. Yd,PKR,12  Crore
227,51,6,7,350, Sq. Yd,PKR,12  Crore
228,51,6,7,350, Sq. Yd,PKR,12  Crore
229,51,6,7,350, Sq. Yd,PKR,12  Crore
230,51,6,7,350, Sq. Yd,PKR,12  Crore
231,51,6,7,350, Sq. Yd,PKR,12  Crore
232,51,6,7,350, Sq. Yd,PKR,12  Crore
233,51,6,7,350, Sq. Yd,PKR,12  Crore
234,51,6,7,350, Sq. Yd,PKR,12  Crore
235,51,6,7,350, Sq. Yd,PKR,12  Crore
236,32,3,3,235, Sq. Yd,PKR,90  Lakh
237,20,3,3,200, Sq. Yd,PKR,1.22 Crore
238,6,3,3,200, Sq. Yd,PKR,1.25 Crore
239,8,6,7,"1,000", Sq. Yd,PKR,16.5 Crore
240,11,3,3,100, Sq. Yd,PKR,3.8 Crore
241,52,8,10,"1,229", Sq. Yd,PKR,22.5 Crore
242,53,5,5,225, Sq. Yd,PKR,5.6 Crore
243,14,5,5,500, Sq. Yd,PKR,9.5 Crore
244,22,3,3,200, Sq. Yd,PKR,95  Lakh
245,0,3,3,125, Sq. Yd,PKR,95  Lakh
246,8,7,7,"1,000", Sq. Yd,PKR,22  Crore
247,54,2,2,83, Sq. Yd,PKR,80  Lakh
248,55,2,2,80, Sq. Yd,PKR,68  Lakh
249,18,6,4,240, Sq. Yd,PKR,3.4 Crore
250,56,5,6,120, Sq. Yd,PKR,2.9 Crore
251,57,2,3,120, Sq. Yd,PKR,1.4 Crore
252,58,8,4,150, Sq. Yd,PKR,2.1 Crore
253,15,6,10,400, Sq. Yd,PKR,5.5 Crore
254,59,10,10,400, Sq. Yd,PKR,4  Crore
255,60,8,6,240, Sq. Yd,PKR,3.55 Crore
256,7,3,3,125, Sq. Yd,PKR,1.3 Crore
257,7,3,3,125, Sq. Yd,PKR,1.3 Crore
258,7,3,3,125, Sq. Yd,PKR,1.3 Crore
259,7,3,3,125, Sq. Yd,PKR,1.3 Crore
260,7,3,3,125, Sq. Yd,PKR,1.3 Crore
261,7,3,3,125, Sq. Yd,PKR,1.3 Crore
262,7,3,3,125, Sq. Yd,PKR,1.3 Crore
263,7,3,3,125, Sq. Yd,PKR,1.3 Crore
264,7,3,3,125, Sq. Yd,PKR,1.3 Crore
265,2,3,3,150, Sq. Yd,PKR,1.4 Crore
266,3,3,3,200, Sq. Yd,PKR,2.3 Crore
267,14,5,5,450, Sq. Yd,PKR,7  Crore
268,61,5,5,350, Sq. Yd,PKR,9  Crore
269,62,3,3,350, Sq. Yd,PKR,10  Crore
270,6,6,7,200, Sq. Yd,PKR,1.37 Crore
271,13,7,7,600, Sq. Yd,PKR,18.5 Crore
272,63,3,3,"1,000", Sq. Yd,PKR,20  Crore
273,32,4,5,200, Sq. Yd,PKR,1.06 Crore
274,36,3,3,350, Sq. Yd,PKR,2.15 Crore
275,22,5,6,200, Sq. Yd,PKR,1.05 Crore
276,64,4,5,500, Sq. Yd,PKR,6.5 Crore
277,65,5,6,266, Sq. Yd,PKR,4.5 Crore
278,66,4,3,427, Sq. Yd,PKR,6.5 Crore
279,12,3,3,300, Sq. Yd,PKR,7.6 Crore
280,2,3,4,150, Sq. Yd,PKR,1.45 Crore
281,3,4,7,200, Sq. Yd,PKR,2.15 Crore
282,67,5,6,220, Sq. Yd,PKR,7  Crore
283,14,5,5,500, Sq. Yd,PKR,8.5 Crore
284,8,4,3,500, Sq. Yd,PKR,9.5 Crore
285,12,3,6,300, Sq. Yd,PKR,7.5 Crore
286,45,6,6,400, Sq. Yd,PKR,3  Crore
287,68,6,6,200, Sq. Yd,PKR,2.1 Crore
288,68,3,4,200, Sq. Yd,PKR,1.5 Crore
289,69,6,6,120, Sq. Yd,PKR,2.3 Crore
290,14,6,3,260, Sq. Yd,PKR,4.3 Crore
291,35,3,8,125, Sq. Yd,PKR,1.14 Crore
292,26,5,7,666, Sq. Yd,PKR,15  Crore
293,70,6,6,240, Sq. Yd,PKR,3.5 Crore
294,71,6,5,120, Sq. Yd,PKR,1.6 Crore
295,13,6,3,500, Sq. Yd,PKR,11.5 Crore
296,13,5,6,500, Sq. Yd,PKR,11.5 Crore
297,6,3,4,200, Sq. Yd,PKR,1.45 Crore
298,72,6,5,240, Sq. Yd,PKR,2.95 Crore
299,14,4,4,300, Sq. Yd,PKR,6.3 Crore
300,73,4,3,100, Sq. Yd,PKR,3.5 Crore
301,11,3,7,100, Sq. Yd,PKR,3.6 Crore
302,35,3,5,125, Sq. Yd,PKR,81  Lakh
303,50,6,7,400, Sq. Yd,PKR,5.25 Crore
304,39,4,7,550, Sq. Yd,PKR,8.5 Crore
305,39,6,6,550, Sq. Yd,PKR,14  Crore
306,13,6,5,500, Sq. Yd,PKR,9.5 Crore
307,74,6,3,550, Sq. Yd,PKR,8  Crore
308,64,5,5,500, Sq. Yd,PKR,7  Crore
309,39,7,8,"1,050", Sq. Yd,PKR,26  Crore
310,14,6,8,"1,000", Sq. Yd,PKR,32  Crore
311,14,6,6,"1,000", Sq. Yd,PKR,23  Crore
312,14,6,6,666, Sq. Yd,PKR,13.5 Crore
313,14,6,6,666, Sq. Yd,PKR,17  Crore
314,8,5,5,500, Sq. Yd,PKR,11  Crore
315,75,8,8,"1,000", Sq. Yd,PKR,17.5 Crore
316,14,4,4,600, Sq. Yd,PKR,11  Crore
317,39,4,4,500, Sq. Yd,PKR,8.5 Crore
318,14,4,4,300, Sq. Yd,PKR,6  Crore
319,14,6,6,"1,000", Sq. Yd,PKR,24  Crore
320,14,6,6,500, Sq. Yd,PKR,11  Crore
321,8,5,4,300, Sq. Yd,PKR,5.9 Crore
322,14,4,3,300, Sq. Yd,PKR,5.4 Crore
323,14,4,6,300, Sq. Yd,PKR,4.8 Crore
324,11,4,3,100, Sq. Yd,PKR,3.75 Crore
325,32,3,3,200, Sq. Yd,PKR,85  Lakh
326,27,5,7,500, Sq. Yd,PKR,10.5 Crore
327,22,3,3,200, Sq. Yd,PKR,94  Lakh
328,32,3,7,200, Sq. Yd,PKR,95.99 Lakh
329,12,4,6,"1,000", Sq. Yd,PKR,26  Crore
330,76,2,9,84, Sq. Yd,PKR,68  Lakh
331,45,7,7,400, Sq. Yd,PKR,4.1 Crore
332,8,6,7,"1,000", Sq. Yd,PKR,20  Crore
333,13,4,5,450, Sq. Yd,PKR,8.5 Crore
334,14,8,9,"1,000", Sq. Yd,PKR,17  Crore
335,13,6,6,500, Sq. Yd,PKR,11.25 Crore
336,7,3,3,200, Sq. Yd,PKR,65  Lakh
337,32,4,4,235, Sq. Yd,PKR,1  Crore
338,21,3,3,200, Sq. Yd,PKR,1.85 Crore
339,7,3,3,350, Sq. Yd,PKR,1.45 Crore
340,5,3,3,125, Sq. Yd,PKR,50  Lakh
341,21,3,3,152, Sq. Yd,PKR,90  Lakh
342,32,3,3,235, Sq. Yd,PKR,95  Lakh
343,6,3,3,200, Sq. Yd,PKR,1.2 Crore
344,37,4,4,200, Sq. Yd,PKR,68  Lakh
345,3,3,3,200, Sq. Yd,PKR,1.74 Crore
346,77,5,5,100, Sq. Yd,PKR,1.1 Crore
347,6,3,3,200, Sq. Yd,PKR,1.4 Crore
348,78,3,3,60, Sq. Yd,PKR,45  Lakh
349,32,3,3,200, Sq. Yd,PKR,1  Crore
350,22,3,2,200, Sq. Yd,PKR,1.2 Crore
351,22,3,4,200, Sq. Yd,PKR,1  Crore
352,79,7,8,800, Sq. Yd,PKR,22  Crore
353,80,5,6,272, Sq. Yd,PKR,3.25 Crore
354,32,3,3,200, Sq. Yd,PKR,93.5 Lakh
355,32,3,3,200, Sq. Yd,PKR,94  Lakh
356,32,3,3,200, Sq. Yd,PKR,97.5 Lakh
357,32,3,3,200, Sq. Yd,PKR,1  Crore
358,32,3,3,200, Sq. Yd,PKR,98  Lakh
359,32,3,3,200, Sq. Yd,PKR,1.03 Crore
360,32,3,3,200, Sq. Yd,PKR,96  Lakh
361,32,3,3,200, Sq. Yd,PKR,1.08 Crore
362,32,3,3,200, Sq. Yd,PKR,90.5 Lakh
363,32,3,3,200, Sq. Yd,PKR,1.1 Crore
364,32,3,3,200, Sq. Yd,PKR,92.5 Lakh
365,32,3,3,200, Sq. Yd,PKR,95.5 Lakh
366,32,3,3,200, Sq. Yd,PKR,1.02 Crore
367,32,3,3,200, Sq. Yd,PKR,1.04 Crore
368,32,3,3,200, Sq. Yd,PKR,94.5 Lakh
369,32,3,3,200, Sq. Yd,PKR,1.05 Crore
370,32,3,3,200, Sq. Yd,PKR,1.07 Crore
371,32,3,3,200, Sq. Yd,PKR,99  Lakh
372,32,3,3,200, Sq. Yd,PKR,92  Lakh
373,32,3,3,200, Sq. Yd,PKR,1.06 Crore
374,32,3,3,200, Sq. Yd,PKR,91  Lakh
375,32,3,3,200, Sq. Yd,PKR,90  Lakh
376,32,3,3,200, Sq. Yd,PKR,99.5 Lakh
377,32,3,3,200, Sq. Yd,PKR,1.05 Crore
378,32,3,3,200, Sq. Yd,PKR,1.02 Crore
379,32,3,3,200, Sq. Yd,PKR,99  Lakh
380,32,3,3,200, Sq. Yd,PKR,92  Lakh
381,32,3,3,200, Sq. Yd,PKR,1.07 Crore
382,32,3,3,200, Sq. Yd,PKR,1  Crore
383,32,3,3,200, Sq. Yd,PKR,90  Lakh
384,81,4,4,120, Sq. Yd,PKR,1.2 Crore
385,6,3,3,200, Sq. Yd,PKR,1  Crore
386,4,4,4,350, Sq. Yd,PKR,1.07 Crore
387,7,3,3,125, Sq. Yd,PKR,86  Lakh
388,7,3,3,125, Sq. Yd,PKR,96.5 Lakh
389,7,3,3,125, Sq. Yd,PKR,97  Lakh
390,7,3,3,125, Sq. Yd,PKR,90.5 Lakh
391,7,3,3,125, Sq. Yd,PKR,92.5 Lakh
392,7,3,3,125, Sq. Yd,PKR,92  Lakh
393,7,3,3,125, Sq. Yd,PKR,88.5 Lakh
394,7,3,3,125, Sq. Yd,PKR,97.5 Lakh
395,7,3,3,125, Sq. Yd,PKR,94  Lakh
396,7,3,3,125, Sq. Yd,PKR,87.5 Lakh
397,7,3,3,125, Sq. Yd,PKR,91  Lakh
398,7,3,3,125, Sq. Yd,PKR,85  Lakh
399,7,3,3,125, Sq. Yd,PKR,95.5 Lakh
400,7,3,3,125, Sq. Yd,PKR,93.5 Lakh
401,7,3,3,125, Sq. Yd,PKR,86.5 Lakh
402,7,3,3,125, Sq. Yd,PKR,96  Lakh
403,7,3,3,125, Sq. Yd,PKR,89  Lakh
404,7,3,3,125, Sq. Yd,PKR,94  Lakh
405,7,3,3,125, Sq. Yd,PKR,98  Lakh
406,7,3,3,125, Sq. Yd,PKR,88.5 Lakh
407,7,3,3,125, Sq. Yd,PKR,93.5 Lakh
408,7,3,3,125, Sq. Yd,PKR,94.5 Lakh
409,7,3,3,125, Sq. Yd,PKR,95  Lakh
410,7,3,3,125, Sq. Yd,PKR,97.5 Lakh
411,7,3,3,125, Sq. Yd,PKR,99  Lakh
412,7,3,3,125, Sq. Yd,PKR,90  Lakh
413,7,3,3,125, Sq. Yd,PKR,93  Lakh
414,7,3,3,125, Sq. Yd,PKR,95.5 Lakh
415,7,3,3,125, Sq. Yd,PKR,85  Lakh
416,7,3,3,125, Sq. Yd,PKR,91  Lakh
417,3,3,3,200, Sq. Yd,PKR,1.9 Crore
418,2,3,3,150, Sq. Yd,PKR,1.51 Crore
419,2,3,3,150, Sq. Yd,PKR,1.47 Crore
420,2,3,3,150, Sq. Yd,PKR,1.45 Crore
421,2,3,3,150, Sq. Yd,PKR,1.49 Crore
422,2,3,3,150, Sq. Yd,PKR,1.46 Crore
423,2,3,3,150, Sq. Yd,PKR,1.5 Crore
424,2,3,3,150, Sq. Yd,PKR,1.53 Crore
425,2,3,3,150, Sq. Yd,PKR,1.52 Crore
426,2,3,3,150, Sq. Yd,PKR,1.46 Crore
427,2,3,3,150, Sq. Yd,PKR,1.46 Crore
428,2,3,3,150, Sq. Yd,PKR,1.51 Crore
429,2,3,3,150, Sq. Yd,PKR,1.5 Crore
430,2,3,3,150, Sq. Yd,PKR,1.52 Crore
431,2,3,3,150, Sq. Yd,PKR,1.45 Crore
432,2,3,3,150, Sq. Yd,PKR,1.53 Crore
433,2,3,3,150, Sq. Yd,PKR,1.5 Crore
434,2,3,3,150, Sq. Yd,PKR,1.47 Crore
435,2,3,3,150, Sq. Yd,PKR,1.53 Crore
436,2,3,3,150, Sq. Yd,PKR,1.54 Crore
437,2,3,3,150, Sq. Yd,PKR,1.48 Crore
438,82,3,3,120, Sq. Yd,PKR,1.5 Crore
439,3,3,3,200, Sq. Yd,PKR,1.74 Crore
440,22,3,3,200, Sq. Yd,PKR,95  Lakh
441,7,3,3,200, Sq. Yd,PKR,96  Lakh
442,32,3,3,200, Sq. Yd,PKR,79  Lakh
443,7,3,3,200, Sq. Yd,PKR,59  Lakh
444,7,3,3,125, Sq. Yd,PKR,47  Lakh
445,6,3,3,200, Sq. Yd,PKR,49  Lakh
446,83,2,2,120, Sq. Yd,PKR,60  Lakh
447,2,3,3,200, Sq. Yd,PKR,1  Crore
